"","plot_id","Baiomys","Chaetodipus","Dipodomys","Neotoma","Onychomys","Perognathus","Peromyscus","Reithrodontomys","Sigmodon","Spermophilus"
"1",1,7,22.1993865030675,60.2321428571429,156.222222222222,27.6754966887417,9.625,22.2222222222222,11.375,NA,NA
"2",2,6,25.1101449275362,55.6825870646766,169.14364640884,26.8730158730159,6.94736842105263,22.2696629213483,10.6805555555556,70.8571428571429,NA
"3",3,8.61111111111111,24.6363636363636,52.046875,158.241379310345,26.0324074074074,7.5078125,21.3703703703704,10.5165876777251,65.6140350877193,NA
"4",4,NA,23.0238095238095,57.5245421245421,164.166666666667,28.09375,7.82442748091603,22.6,10.2631578947368,82,NA
"5",5,7.75,17.9827586206897,51.1135593220339,190.037037037037,27.0169491525424,8.65853658536585,21.2317073170732,11.1545454545455,82.6666666666667,NA
"6",6,NA,24.8600917431193,58.6053130929791,179.933333333333,25.8994708994709,7.80952380952381,21.8404255319149,10.6704545454545,68.7777777777778,NA
"7",7,NA,19.9160305343511,57.3636363636364,170.222222222222,23.5833333333333,7,22.2169811320755,11.0756972111554,NA,NA
"8",8,NA,20.4728434504792,59.4109031733116,133.857142857143,25.8657718120805,7.05660377358491,20.1176470588235,9.69230769230769,NA,NA
"9",9,NA,18.9159663865546,57.5179198875615,161.818181818182,27.5466666666667,7.37142857142857,21.65625,10.3214285714286,56.5,NA
"10",10,NA,22.3333333333333,51.8333333333333,190,28.6818181818182,NA,21.0597014925373,10.8771929824561,101,NA
"11",11,NA,19.8088235294118,50.6065162907268,153.257142857143,25.8862275449102,8.12121212121212,21.6029411764706,10.8194444444444,64.0588235294118,NA
"12",12,NA,19.6163793103448,50.4829339143065,169.013333333333,26.1141732283465,7.875,20.984126984127,10.6732673267327,66.2222222222222,NA
"13",13,NA,27.296511627907,60.4743083003953,153.72972972973,27.472972972973,9.27551020408163,21.7954545454545,10.3066666666667,74,NA
"14",14,NA,16.5185185185185,48.8601986249045,139.087719298246,29.4914285714286,8.83870967741935,21.025,9.91176470588235,NA,130
"15",15,NA,20.536231884058,46.5833333333333,164.272727272727,25.3465346534653,8.16312056737589,20.2520325203252,10.2649572649573,58,NA
"16",16,NA,22.1538461538462,45.8198198198198,117,25.3488372093023,6.66666666666667,20.5876288659794,10.828025477707,NA,NA
"17",17,NA,23.1781609195402,52.5686767169179,145.941176470588,26.1078431372549,8.6,21,9.9620253164557,69.1333333333333,NA
"18",18,9.5,26.7558139534884,61.3961038961039,148.625,26.5798319327731,8.6241610738255,21.3707865168539,11.05,46.1,NA
"19",19,9.53333333333333,26.4259259259259,43.2692307692308,120,23.8289473684211,8.09420289855072,20.8423913043478,10.5282051282051,67.8666666666667,NA
"20",20,6,25.0574712643678,65.935960591133,155.341463414634,25.2325581395349,8.14414414414414,21.1386138613861,10.712,63,57
"21",21,6.66666666666667,28.1835443037975,42.6857142857143,137.764705882353,24.5921052631579,9.19161676646707,22.0588235294118,10.1641025641026,71.1071428571429,NA
"22",22,NA,29.7395833333333,70.3841309823678,136.866666666667,24.6421052631579,10.8153846153846,21.3461538461538,9.28571428571429,50,NA
"23",23,NA,22.4444444444444,53.6206896551724,117.5,23.4090909090909,6.4,21.5221238938053,11.0372340425532,199,NA
"24",24,NA,20.4615384615385,45.7464387464387,165.721649484536,25.68,10.5,21.8219696969697,10.639751552795,66.8571428571429,NA
